Timestamp,Position_0,Position_1,Position_2,Position_3,Position_4,Position_5,Position_6,Position_7,Position_8,Position_9,Position_10,Position_11,Velocity_0,Velocity_1,Velocity_2,Velocity_3,Velocity_4,Velocity_5,Velocity_6,Velocity_7,Velocity_8,Velocity_9,Velocity_10,Velocity_11,Current_0,Current_1,Current_2,Current_3,Current_4,Current_5,Current_6,Current_7,Current_8,Current_9,Current_10,Current_11,PositionRef_0,PositionRef_1,PositionRef_2,PositionRef_3,PositionRef_4,PositionRef_5,PositionRef_6,PositionRef_7,PositionRef_8,PositionRef_9,PositionRef_10,PositionRef_11,LastCommand_0,LastCommand_1,LastCommand_2,LastCommand_3,LastCommand_4,LastCommand_5,LastCommand_6,LastCommand_7,LastCommand_8,LastCommand_9,LastCommand_10,LastCommand_11,
145582,-0.053,-0.044,-0.019,-0.056,0.055,-0.094,-0.043,-0.049,-0.023,-0.049,0.042,-0.083,0.023,-0.041,-0.812,0.064,-0.023,-0.116,0.524,0.192,-0.716,0.247,-0.032,-0.157,0.639,0.306,-0.188,0.527,-0.639,-0.174,0.133,0.295,-0.184,0.351,-0.213,-0.433,0.000,0.000,-0.159,0.000,0.000,-0.159,0.000,0.000,-0.159,0.000,0.000,-0.159,0.693,0.703,-0.342,0.658,-0.712,-0.677,-0.434,0.277,-0.421,0.175,-0.521,-0.763
145597,-0.052,-0.044,-0.033,-0.055,0.055,-0.095,-0.037,-0.043,-0.035,-0.046,0.041,-0.087,0.087,0.032,-0.800,0.064,-0.044,-0.009,0.311,0.448,-0.864,0.192,-0.023,-0.221,0.506,0.376,-0.207,0.603,-0.655,-0.436,0.125,0.169,-0.199,0.297,-0.326,-0.648,0.000,0.000,-0.174,0.000,0.000,-0.174,0.000,0.000,-0.174,0.000,0.000,-0.174,0.552,0.559,-0.365,0.667,-0.680,-1.095,-0.105,-0.290,-0.119,0.264,-0.533,-0.780
145612,-0.049,-0.044,-0.046,-0.054,0.053,-0.098,-0.032,-0.039,-0.048,-0.043,0.040,-0.095,0.288,0.064,-0.864,0.023,-0.096,-0.381,0.332,0.012,-0.916,0.128,-0.204,-0.564,0.277,0.365,-0.143,0.649,-0.547,-0.369,0.058,0.247,-0.117,0.320,-0.187,-0.266,0.000,0.000,-0.189,0.000,0.000,-0.189,0.000,0.000,-0.189,0.000,0.000,-0.189,0.104,0.486,-0.268,0.692,-0.554,-0.506,-0.204,0.465,-0.137,0.352,-0.151,-0.190
145627,-0.046,-0.041,-0.060,-0.054,0.052,-0.105,-0.029,-0.040,-0.062,-0.043,0.032,-0.099,0.140,0.375,-0.852,0.012,-0.044,-0.669,0.087,0.055,-0.780,0.032,-0.631,0.023,0.423,0.285,-0.171,0.720,-0.479,-0.164,0.119,0.312,-0.171,0.462,-0.066,-1.018,0.000,0.000,-0.204,0.000,0.000,-0.204,0.000,0.000,-0.204,0.000,0.000,-0.204,0.371,-0.178,-0.316,0.732,-0.637,-0.046,0.237,0.445,-0.209,0.539,0.810,-1.514
145642,-0.045,-0.034,-0.073,-0.054,0.051,-0.116,-0.029,-0.039,-0.075,-0.041,0.028,-0.101,-0.000,0.460,-0.759,0.023,-0.032,-0.509,0.012,0.012,-0.748,0.140,-0.119,0.012,0.548,0.073,-0.219,0.679,-0.550,-0.298,0.192,0.311,-0.183,0.380,-0.082,-1.305,0.000,0.000,-0.219,0.000,0.000,-0.219,0.000,0.000,-0.219,0.000,0.000,-0.219,0.628,-0.501,-0.528,0.707,-0.656,-0.429,0.389,0.528,-0.517,0.281,-0.148,-1.680
145657,-0.043,-0.032,-0.074,-0.054,0.051,-0.125,-0.029,-0.039,-0.088,-0.039,0.027,-0.102,0.183,-0.169,-0.160,-0.000,-0.087,-0.500,-0.000,0.064,-0.748,0.151,-0.023,-0.084,0.300,0.203,-1.640,0.716,-0.593,-0.213,0.161,0.373,-0.200,0.271,-0.083,-1.441,0.000,0.000,-0.234,0.000,0.000,-0.234,0.000,0.000,-0.234,0.000,0.000,-0.234,0.240,0.780,-1.917,0.753,-0.534,-0.519,0.412,0.415,-0.544,0.246,-0.326,-1.683
145672,-0.042,-0.032,-0.075,-0.054,0.049,-0.135,-0.029,-0.037,-0.102,-0.039,0.027,-0.106,0.023,0.096,-0.023,-0.000,-0.087,-0.692,0.032,0.192,-0.800,-0.000,0.000,-0.329,0.516,0.266,-2.164,0.636,-0.572,-0.296,0.232,0.332,-0.122,0.399,-0.143,-1.185,0.000,0.000,-0.248,0.000,0.000,-0.248,0.000,0.000,-0.248,0.000,0.000,-0.248,0.547,0.209,-2.392,0.750,-0.515,-0.323,0.346,0.156,-0.334,0.524,-0.374,-1.332
145687,-0.042,-0.032,-0.076,-0.053,0.049,-0.144,-0.029,-0.033,-0.115,-0.039,0.027,-0.108,0.044,0.055,-0.076,0.023,-0.032,-0.468,0.044,0.247,-0.908,0.023,0.000,-0.221,0.503,0.263,-2.242,0.675,-0.574,-0.384,0.227,0.199,-0.165,0.465,-0.143,-1.860,0.000,0.000,-0.263,0.000,0.000,-0.263,0.000,0.000,-0.263,0.000,0.000,-0.263,0.498,0.339,-2.463,0.701,-0.620,-0.724,0.317,0.024,-0.252,0.499,-0.373,-1.723
145702,-0.042,-0.032,-0.077,-0.053,0.048,-0.156,-0.028,-0.029,-0.130,-0.038,0.027,-0.110,0.012,0.032,-0.032,0.064,-0.012,-0.817,0.128,0.119,-0.972,0.044,-0.012,-0.020,0.507,0.334,-2.596,0.624,-0.554,-0.208,0.208,0.208,-0.268,0.460,-0.203,-2.086,0.000,0.000,-0.278,0.000,0.000,-0.278,0.000,0.000,-0.278,0.000,0.000,-0.278,0.558,0.385,-2.748,0.613,-0.607,-0.077,0.131,0.135,-0.080,0.451,-0.348,-2.318
145717,-0.041,-0.032,-0.078,-0.051,0.048,-0.167,-0.025,-0.029,-0.144,-0.036,0.026,-0.110,0.023,-0.000,-0.032,0.192,-0.032,-0.881,0.224,-0.000,-0.908,0.192,-0.044,-0.029,0.547,0.350,-2.831,0.510,-0.553,-0.280,0.182,0.280,-0.185,0.233,-0.212,-2.357,0.000,0.000,-0.293,0.000,0.000,-0.293,0.000,0.000,-0.293,0.000,0.000,-0.293,0.533,0.448,-2.927,0.332,-0.603,-0.005,-0.105,0.412,-0.160,0.127,-0.279,-2.501
